symbol,location,latitude,longitude,in_both
JEF,"New York, New York",36.1023715,-115.1745559,FALSE
SJM,"Orrville, Ohio",40.8436663,-81.7640212,TRUE
JNJ,"New Brunswick, New Jersey",40.4862157,-74.4518188,TRUE
JCI,"Cork, Ireland",51.8985143,-8.4756035,TRUE
JPM,"New York, New York",36.1023715,-115.1745559,TRUE
JNPR,"Sunnyvale, California",37.36883,-122.0363496,TRUE
KSU,"Kansas City, Missouri",39.0997265,-94.5785667,TRUE
K,"Battle Creek, Michigan",42.3211522,-85.1797142,TRUE
KEY,"Cleveland, Ohio",41.49932,-81.6943605,TRUE
KEYS,"Santa Rosa, California",38.440429,-122.7140548,FALSE
KMB,"Irving, Texas",32.8140177,-96.9488945,TRUE
KIM,"New Hyde Park, New York",40.7351018,-73.6879082,TRUE
KMI,"Houston, Texas",29.7604267,-95.3698028,TRUE
KLAC,"Milpitas, California",37.4323341,-121.8995741,TRUE
KSS,"Menomonee Falls, Wisconsin",43.1788967,-88.1173132,TRUE
KHC,"Chicago, Illinois; Pittsburgh, Pennsylvania",41.8781136,-87.6297982,TRUE
KR,"Cincinnati, Ohio",39.1031182,-84.5120196,TRUE
LB,"Columbus, Ohio",39.9611755,-82.9987942,TRUE
LLL,"New York, New York",36.1023715,-115.1745559,TRUE
LH,"Burlington, North Carolina",36.0956918,-79.4377991,TRUE
LRCX,"Fremont, California",37.5482697,-121.9885719,TRUE
LW,"Eagle, Idaho",43.6954424,-116.3540138,FALSE
LEG,"Carthage, Missouri",37.176447,-94.3102228,TRUE
LEN,"Miami, Florida",25.7616798,-80.1917902,TRUE
LLY,"Indianapolis, Indiana",39.768403,-86.158068,TRUE
LNC,"Radnor, Pennsylvania",40.043912,-75.3754599,TRUE
LIN,"Guildford, Surrey, United Kingdom",51.23622,-0.570409,FALSE
LKQ,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
LMT,"Bethesda, Maryland",38.984652,-77.0947092,TRUE
L,"New York, New York",36.1023715,-115.1745559,TRUE
LOW,"Mooresville, North Carolina",35.5859146,-80.8081413,TRUE
LYB,"Rotterdam, Netherlands",51.9244201,4.4777326,TRUE
MTB,"Buffalo, New York",42.8864468,-78.8783689,TRUE
MAC,"Santa Monica, California",34.0194543,-118.4911912,TRUE
M,"Cincinnati, Ohio",39.1031182,-84.5120196,TRUE
MRO,"Houston, Texas",29.7604267,-95.3698028,TRUE
MPC,"Findlay, Ohio",41.04422,-83.6499321,TRUE
MAR,"Bethesda, Maryland",38.984652,-77.0947092,TRUE
MMC,"New York, New York",36.1023715,-115.1745559,TRUE
MLM,"Raleigh, North Carolina",35.7795897,-78.6381787,TRUE
MAS,"Taylor, Michigan",42.240872,-83.2696509,TRUE
MA,"Harrison, New York",40.9700171,-73.7176337,TRUE
MAT,"El Segundo, California",33.9191799,-118.4164652,TRUE
MKC,"Sparks, Maryland",39.5309389,-76.6458043,TRUE
MXIM,"San Jose, California",37.3382082,-121.8863286,FALSE
MCD,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
MCK,"San Francisco, California",37.7749295,-122.4194155,TRUE
